*.fx	HLSL
*.fxh	HLSL
*.fxml	XML
*.fy	Fancy
*.g	G-code
*.g	GAP
*.g4	ANTLR
*.gaml	GAML
*.gap	GAP
*.gawk	Awk
*.gbl	Gerber Image
*.gbo	Gerber Image
*.gbp	Gerber Image
*.gbr	Gerber Image
*.gbs	Gerber Image
*.gco	G-code
*.gcode	G-code
*.gd	GAP
*.gd	GDScript
*.gdb	GDB
*.gdbinit	GDB
*.gdnlib	Godot Resource
*.gdns	Godot Resource
*.gdshader	GDShader
*.gdshaderinc	GDShader
*.ged	GEDCOM
*.gemspec	Ruby
*.geo	GLSL
*.geojson	JSON
*.geom	GLSL
*.gf	Grammatical Framework
*.gi	GAP
*.gitconfig	Git Config
*.gitignore	Ignore List
*.gjs	Glimmer JS
*.gko	Gerber Image
*.glade	XML
*.gleam	Gleam
*.glf	Glyph
*.glsl	GLSL
*.glslf	GLSL
*.glslv	GLSL
*.gltf	JSON
*.glyphs	OpenStep Property List
*.gmi	Gemini
*.gml	Game Maker Language
*.gml	Gerber Image
*.gml	Graph Modeling Language
*.gml	XML
*.gms	GAMS
*.gmx	XML
*.gn	GN
*.gni	GN
*.gnu	Gnuplot
*.gnuplot	Gnuplot
*.go	Go
*.god	Ruby
*.gohtml	Go Template
*.golo	Golo
*.gotmpl	Go Template
*.gp	Gnuplot
*.gpb	Gerber Image
*.gpt	Gerber Image
*.gpx	XML
*.gql	GraphQL
*.grace	Grace
*.gradle	Gradle
*.gradle.kts	Gradle Kotlin DSL
*.graphql	GraphQL
*.graphqls	GraphQL
*.groovy	Groovy
*.grt	Groovy
*.grxml	XML
*.gs	Genie
*.gs	GLSL
*.gs	Gosu
*.gs	JavaScript
*.gsc	GSC
*.gsh	GSC
*.gshader	GLSL
*.gsp	Groovy Server Pages
*.gst	Gosu
*.gst	XML
*.gsx	Gosu
*.gtl	Gerber Image
*.gto	Gerber Image
*.gtp	Gerber Image
*.gtpl	Groovy
*.gts	Gerber Image
*.gts	Glimmer TS
*.gv	Graphviz (DOT)
*.gvy	Groovy
*.gyp	Python
*.gypi	Python
*.h	C
*.h	C++
*.h	Objective-C
*.h.in	C
*.h++	C++
*.ha	Hare
*.hack	Hack
*.haml	Haml
*.haml.deface	Haml
*.handlebars	Handlebars
*.har	JSON
*.hats	ATS
*.hb	Harbour
*.hbs	Handlebars
*.hc	HolyC
*.hcl	HCL
*.heex	HTML+EEX
*.hh	C++
*.hh	Hack
*.hhi	Hack
*.hic	Clojure
*.hip	HIP
*.hlean	Lean
*.hlsl	HLSL
*.hlsli	HLSL
*.hocon	HOCON
*.hoon	hoon
*.hpp	C++
*.hqf	SQF
*.hql	HiveQL
*.hrl	Erlang
*.hs	Haskell
*.hs-boot	Haskell
*.hsc	Haskell
*.hta	HTML
*.htm	HTML
*.html	Ecmarkup
*.html	HTML
*.html.eex	HTML+EEX
*.html.hl	HTML
*.html.tmpl	Go Template
*.http	HTTP
*.hurl	Hurl
*.hx	Haxe
*.hxml	HXML
*.hxsl	Haxe
*.hxx	C++
*.hy	Hy
*.hzp	XML
*.i	Assembly
*.i	Motorola 68K Assembly
*.i	SWIG
*.i3	Modula-3
*.i7x	Inform 7
*.ical	iCalendar
*.ice	JSON
*.ice	Slice
*.iced	CoffeeScript
*.icl	Clean
*.ics	iCalendar
*.idc	C
*.idr	Idris
*.ig	Modula-3
*.ihlp	Stata
*.ijm	ImageJ Macro
*.ijs	J
*.ik	Ioke
*.ily	LilyPond
*.imba	Imba
*.iml	XML
*.inc	Assembly
*.inc	BitBake
*.inc	C++
*.inc	HTML
*.inc	Motorola 68K Assembly
*.inc	NASL
*.inc	Pascal
*.inc	Pawn
*.inc	PHP
*.inc	POV-Ray SDL
*.inc	SourcePawn
*.inc	SQL
*.ini	INI
*.ink	Ink
*.inl	C++
*.ino	C++
